Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,8.300000191,,,,,,,,,,9.399999619,,,,,9.100000381,,,,,8,7.900000095,7.699999809,7.699999809,7.599999905,,,7.199999809,7.199999809,7.099999905,7.8,7.7,7.6,7.5,7.5,7.4,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.2,,,,,
Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.225748777,,,,,,,,,,1.154899955,,,,,,,,,,1.464900017,1.131199956,,,,0.359600008,,,,,0.833899975,0.500500023,0.223100007,0.239099994,0.233600006,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,
Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.523758113,,,,,,,,,,0.571500003,,,,,,,,,,,,,,,,,,,0.306400001,0.299299985,,,,,1.299999952,1.419999957,,,,,,,,,,0.9,,,,0.4,,,,,,,,,
Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,0.155100003,,,,,,,,,,0.215800002,0.225199997,,,,0.287800014,,,,,0.304199994,0.308099985,,,0.304899991,,,,,0.300000012,,0.3,0.34,,,0.3,,,,,,0.6,,,0.6,0.8,,,,
Bulgaria,BGR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.213677406,,,,,,,,,,,,,,,,,,,,8.850600243,8.859000206,8.886699677,8.876799583,8.963000298,9.11400032,9.4520998,9.564200401,9.560199738,9.7020998,9.790800095,9.768199921,10.20639992,10.49419975,10.19610024,10.36999989,10.47000027,10.27999973,8.409999847,7.489999771,7.4,7.2,6.5,6.3,6.1,6.4,6.2,6.4,6.5,6.6,6.5,6.4,6.6,6.8,,,,,,
Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.711409569,,,,,,,,,,4.342899799,,,,,,,,,,3.314399958,,,,,,,,,3.33949995,,,,,,,,2.900000095,,,2.8,2.8,2.9,2.8,2.8,2.8,2.7,2.7,2,1.8,1.8,1.7,2.1,2.1,2,,,,,
"Bahamas, The",BHS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.725663662,,,,,,,,,,5.093599796,,,,,,,,,,4.404799938,,,,,,,,,,4,,,3.883899927,,3.6,3.940000057,,,,3.5,3.4,3.400000095,3.4,3.4,,3.2,3.2,3.1,3.2,3.1,2.9,2.9,2.9,,,,,,
Bosnia and Herzegovina,BIH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,4.831099987,4.922800064,4.917900085,4.904699802,4.813700199,4.718100071,4.742000103,4.593500137,4.578199863,4.498300076,4.45909977,4.377999783,,,,,,,3.819999933,3.799999952,3.4,3.2,3.2,3.2,3.1,3,3.3,3.4,3.4,3.3,3.4,3.5,3.5,3.5,,,,,,
Belarus,BLR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,12.54609966,,,,,13.07129955,13.26049995,13.45629978,13.37290001,13.5795002,13.22640038,13.20470047,12.69069958,12.4762001,12.46389961,12.38000011,12.27000046,12.35999966,12.42000008,12.64000034,12.6,12.6,11.9,11.3,10.7,11.1,11.2,11.2,11.1,11.1,11.5,11.3,11.3,11,,,,,,
Belize,BLZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.667765141,,,,,,,,,,5.401400089,,,,,,,,,,,,,,,,3.316800117,,,,2.700000048,,,2.799999952,,2.5,2.130000114,,,,1.9,,,1.299999952,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.1,0.9,1.3,,,,,
